
=== Decompiling zelres1 ===
[1/40] chunk_00... OK (5913 lines)
[2/40] chunk_01... OK (6 lines)
[3/40] chunk_02... OK (106 lines)
[4/40] chunk_03... OK (13 lines)
[5/40] chunk_04... OK (122 lines)
[6/40] chunk_05... OK (6 lines)
[7/40] chunk_06... OK (2927 lines)
[8/40] chunk_07... OK (6 lines)
[9/40] chunk_08... OK (6 lines)
[10/40] chunk_09... OK (6 lines)
[11/40] chunk_10... OK (6 lines)
[12/40] chunk_11... OK (6 lines)
[13/40] chunk_12... OK (6 lines)
[14/40] chunk_13... OK (6 lines)
[15/40] chunk_14... OK (6 lines)
[16/40] chunk_15... OK (6 lines)
[17/40] chunk_16... OK (6 lines)
[18/40] chunk_17... OK (6 lines)
[19/40] chunk_18... OK (6 lines)
[20/40] chunk_19... OK (6 lines)
[21/40] chunk_20... OK (6 lines)
[22/40] chunk_21... OK (6 lines)
[23/40] chunk_22... OK (6 lines)
[24/40] chunk_23... OK (6 lines)
[25/40] chunk_24... OK (104 lines)
[26/40] chunk_25... OK (6 lines)
[27/40] chunk_26... OK (6 lines)
[28/40] chunk_27... OK (6 lines)
[29/40] chunk_28... OK (6 lines)
[30/40] chunk_29... OK (6 lines)
[31/40] chunk_30... OK (17 lines)
[32/40] chunk_31... OK (6 lines)
[33/40] chunk_32... OK (6 lines)
[34/40] chunk_33... OK (6 lines)
[35/40] chunk_34... OK (6 lines)
[36/40] chunk_35... OK (6 lines)
[37/40] chunk_36... OK (6 lines)
[38/40] chunk_37... OK (6 lines)
[39/40] chunk_38... OK (6 lines)
[40/40] chunk_39... OK (6 lines)

=== Decompiling zelres2 ===
[1/40] chunk_00... OK (6072 lines)
[2/40] chunk_01... OK (504 lines)
[3/40] chunk_02... OK (1116 lines)
[4/40] chunk_03... OK (1090 lines)
[5/40] chunk_04... OK (976 lines)
[6/40] chunk_05... OK (1165 lines)
[7/40] chunk_06... OK (1054 lines)
[8/40] chunk_07... OK (82 lines)
[9/40] chunk_08... OK (151 lines)
[10/40] chunk_09... OK (75 lines)
[11/40] chunk_10... OK (92 lines)
[12/40] chunk_11... OK (6 lines)
[13/40] chunk_12... OK (136 lines)
[14/40] chunk_13... OK (94 lines)
[15/40] chunk_14... OK (68 lines)
[16/40] chunk_15... OK (88 lines)
[17/40] chunk_16... OK (70 lines)
[18/40] chunk_17... OK (54 lines)
[19/40] chunk_18... OK (6 lines)
[20/40] chunk_19... OK (6 lines)
[21/40] chunk_20... OK (6 lines)
[22/40] chunk_21... OK (6 lines)
[23/40] chunk_22... OK (6 lines)
[24/40] chunk_23... OK (6 lines)
[25/40] chunk_24... OK (6 lines)
[26/40] chunk_25... OK (6 lines)
[27/40] chunk_26... OK (6 lines)
[28/40] chunk_27... OK (6 lines)
[29/40] chunk_28... OK (6 lines)
[30/40] chunk_29... OK (6 lines)
[31/40] chunk_30... OK (6 lines)
[32/40] chunk_31... OK (6 lines)
[33/40] chunk_32... OK (6 lines)
[34/40] chunk_33... OK (6 lines)
[35/40] chunk_34... OK (6 lines)
[36/40] chunk_35... OK (6 lines)
[37/40] chunk_36... OK (6 lines)
[38/40] chunk_37... OK (6 lines)
[39/40] chunk_38... OK (16 lines)
[40/40] chunk_39... OK (16 lines)

=== Decompiling zelres3 ===
[1/40] chunk_00... OK (139 lines)
[2/40] chunk_01... OK (6 lines)
[3/40] chunk_02... OK (6 lines)
[4/40] chunk_03... OK (6 lines)
[5/40] chunk_04... OK (6 lines)
[6/40] chunk_05... OK (6 lines)
[7/40] chunk_06... OK (6 lines)
[8/40] chunk_07... OK (13 lines)
[9/40] chunk_08... OK (6 lines)
[10/40] chunk_09... OK (6 lines)
[11/40] chunk_10... OK (6 lines)
[12/40] chunk_11... OK (6 lines)
[13/40] chunk_12... OK (6 lines)
[14/40] chunk_13... OK (6 lines)
[15/40] chunk_14... OK (301 lines)
[16/40] chunk_15... OK (6 lines)
[17/40] chunk_16... OK (9 lines)
[18/40] chunk_17... OK (6 lines)
[19/40] chunk_18... OK (6 lines)
[20/40] chunk_19... OK (6 lines)
[21/40] chunk_20... OK (6 lines)
[22/40] chunk_21... OK (6 lines)
[23/40] chunk_22... OK (6 lines)
[24/40] chunk_23... OK (6 lines)
[25/40] chunk_24... OK (6 lines)
[26/40] chunk_25... OK (6 lines)
[27/40] chunk_26... OK (6 lines)
[28/40] chunk_27... OK (6 lines)
[29/40] chunk_28... OK (6 lines)
[30/40] chunk_29... OK (6 lines)
[31/40] chunk_30... OK (6 lines)
[32/40] chunk_31... OK (16 lines)
[33/40] chunk_32... OK (6 lines)
[34/40] chunk_33... OK (6 lines)
[35/40] chunk_34... OK (6 lines)
[36/40] chunk_35... OK (6 lines)
[37/40] chunk_36... OK (6 lines)
[38/40] chunk_37... OK (6 lines)
[39/40] chunk_38... OK (6 lines)
[40/40] chunk_39... OK (6 lines)

Done! Counting results...
Files: 120, Total lines: 23133
